line: 7 0 9 4 3 5 6 4 1 4 2 2 1 0 3 5 8 4 3 2 2 7 6 3 3 4 8 6 3 4 0 5 5 9 1 0 6 7 4 8 3 8 2 6 8 5 2 9 9 7 3 4 7 9 9 0 5 7 8 0 2 8 7 9 9 8 9 6 5 5 6 0 4 8 7 4 5 9 5 7 8 8 1 5 7 2 5 4 2 4 5 6 4 2 5 6 1 6 4 8 3 0 9 9 8 8 4 5 9 9 2 7 0 5 3 9 8 8 4 0 4 9 6 9 1 3 7 4 1 1 3 4 1 4 4 1 2 0 6 1 1 9 0 1 6 3 1 4 4 5 6 8 6 4 9 9 9 6 4 0 7 9 7 0 3 3 1 7 5 0 0 6 9 0 0 7 4 3 2 0 0 0 8 6 5 0 5 4 6 1 7 6 0 6 6 5 9 0 2 4 
1: [ 7|  |  |  |  ]
2: [ 7| 0|  |  |  ]
3: [ 7| 0| 9|  |  ]
4: [ 7| 0| 9| 4|  ]
5: [ 7| 0| 9| 4| 3]
6: [ 7| 0| 5| 4| 3] F
7: [ 6| 0| 5| 4| 3] F
8: [ 6| 0| 5| 4| 3]
9: [ 1| 0| 5| 4| 3] F
10: [ 1| 0| 5| 4| 3]
11: [ 1| 0| 5| 2| 3] F
12: [ 1| 0| 5| 2| 3]
13: [ 1| 0| 5| 2| 3]
14: [ 1| 0| 5| 2| 3]
15: [ 1| 0| 5| 2| 3]
16: [ 1| 0| 5| 2| 3]
17: [ 8| 0| 5| 2| 3] F
18: [ 8| 0| 4| 2| 3] F
19: [ 8| 0| 4| 2| 3]
20: [ 8| 0| 4| 2| 3]
21: [ 8| 0| 4| 2| 3]
22: [ 8| 0| 4| 7| 3] F
23: [ 8| 0| 4| 6| 3] F
24: [ 8| 0| 4| 6| 3]
25: [ 8| 0| 4| 6| 3]
26: [ 8| 0| 4| 6| 3]
27: [ 8| 0| 4| 6| 3]
28: [ 8| 0| 4| 6| 3]
29: [ 8| 0| 4| 6| 3]
30: [ 8| 0| 4| 6| 3]
31: [ 8| 0| 4| 6| 3]
32: [ 8| 0| 4| 6| 5] F
33: [ 8| 0| 4| 6| 5]
34: [ 8| 0| 4| 6| 9] F
35: [ 8| 0| 4| 6| 1] F
36: [ 8| 0| 4| 6| 1]
37: [ 8| 0| 4| 6| 1]
38: [ 8| 0| 4| 6| 7] F
39: [ 8| 0| 4| 6| 7]
40: [ 8| 0| 4| 6| 7]
41: [ 8| 3| 4| 6| 7] F
42: [ 8| 3| 4| 6| 7]
43: [ 8| 3| 2| 6| 7] F
44: [ 8| 3| 2| 6| 7]
45: [ 8| 3| 2| 6| 7]
46: [ 8| 3| 2| 5| 7] F
47: [ 8| 3| 2| 5| 7]
48: [ 8| 3| 9| 5| 7] F
49: [ 8| 3| 9| 5| 7]
50: [ 8| 3| 9| 5| 7]
51: [ 8| 3| 9| 5| 7]
